,Termo da busca,Data da Busca,Acervo,Ano,Edição,Página,Nome do arquivo,Link
0,"""centro civico sete de setembro""",2024-04-24,Futuro das Moças (RJ) - 1914 a 1918,1917,35,8,342149_963.jpg,http://memoria.bn.br/docreader/342149/963
1,"""centro civico sete de setembro""",2024-04-24,Fon Fon : Semanario Alegre  Politico  Critico e Espusiante (RJ) - 1907 a 1958,1912,30,37,259063_10758.jpg,http://memoria.bn.br/docreader/259063/10758
2,"""centro civico sete de setembro""",2024-04-24,Fon Fon : Semanario Alegre  Politico  Critico e Espusiante (RJ) - 1907 a 1958,1913,39,62,259063_15403.jpg,http://memoria.bn.br/docreader/259063/15403
3,"""centro civico sete de setembro""",2024-04-24,A Rua : Semanario Illustrado (RJ) - 1910 a 1927,1915,175,1,236403_1337.jpg,http://memoria.bn.br/docreader/236403/1337
4,"""centro civico sete de setembro""",2024-04-24,A Rua : Semanario Illustrado (RJ) - 1910 a 1927,1915,307,5,236403_1967.jpg,http://memoria.bn.br/docreader/236403/1967
5,"""centro civico sete de setembro""",2024-04-24,A Rua : Semanario Illustrado (RJ) - 1910 a 1927,1916,2,4,236403_2276.jpg,http://memoria.bn.br/docreader/236403/2276
6,"""centro civico sete de setembro""",2024-04-24,A Rua : Semanario Illustrado (RJ) - 1910 a 1927,1916,226,4,236403_3044.jpg,http://memoria.bn.br/docreader/236403/3044
7,"""centro civico sete de setembro""",2024-04-24,A Rua : Semanario Illustrado (RJ) - 1910 a 1927,1916,229,4,236403_3060.jpg,http://memoria.bn.br/docreader/236403/3060
8,"""centro civico sete de setembro""",2024-04-24,A Rua : Semanario Illustrado (RJ) - 1910 a 1927,1916,311,3,236403_3483.jpg,http://memoria.bn.br/docreader/236403/3483
9,"""centro civico sete de setembro""",2024-04-24,A Rua : Semanario Illustrado (RJ) - 1910 a 1927,1917,7,5,236403_3769.jpg,http://memoria.bn.br/docreader/236403/3769
10,"""centro civico sete de setembro""",2024-04-24,A Rua : Semanario Illustrado (RJ) - 1910 a 1927,1917,10,2,236403_3784.jpg,http://memoria.bn.br/docreader/236403/3784
11,"""centro civico sete de setembro""",2024-04-24,A Rua : Semanario Illustrado (RJ) - 1910 a 1927,1917,140,3,236403_4530.jpg,http://memoria.bn.br/docreader/236403/4530
12,"""centro civico sete de setembro""",2024-04-24,A Rua : Semanario Illustrado (RJ) - 1910 a 1927,1917,182,2,236403_4763.jpg,http://memoria.bn.br/docreader/236403/4763
13,"""centro civico sete de setembro""",2024-04-24,A Rua : Semanario Illustrado (RJ) - 1910 a 1927,1917,182,5,236403_4766.jpg,http://memoria.bn.br/docreader/236403/4766
14,"""centro civico sete de setembro""",2024-04-24,A Rua : Semanario Illustrado (RJ) - 1910 a 1927,1917,183,5,236403_4772.jpg,http://memoria.bn.br/docreader/236403/4772
15,"""centro civico sete de setembro""",2024-04-24,A Rua : Semanario Illustrado (RJ) - 1910 a 1927,1917,269,5,236403_5206.jpg,http://memoria.bn.br/docreader/236403/5206
16,"""centro civico sete de setembro""",2024-04-24,A Rua : Semanario Illustrado (RJ) - 1910 a 1927,1917,294,3,236403_5340.jpg,http://memoria.bn.br/docreader/236403/5340
17,"""centro civico sete de setembro""",2024-04-24,A Rua : Semanario Illustrado (RJ) - 1910 a 1927,1917,219,2,236403_5449.jpg,http://memoria.bn.br/docreader/236403/5449
18,"""centro civico sete de setembro""",2024-04-24,A Rua : Semanario Illustrado (RJ) - 1910 a 1927,1918,8,5,236403_5706.jpg,http://memoria.bn.br/docreader/236403/5706
