,Termo da busca,Data da Busca,Acervo,Ano,Edição,Página,Nome do arquivo,Link
0,"""centro civico sete de setembro""",2024-06-05,Correio da Manhã (RJ) - 1910 a 1919,1911,728,2,089842_02_6557.jpg,http://memoria.bn.br/docreader/089842_02/6557
1,"""centro civico sete de setembro""",2024-06-05,Correio da Manhã (RJ) - 1910 a 1919,1912,900,3,089842_02_8666.jpg,http://memoria.bn.br/docreader/089842_02/8666
2,"""centro civico sete de setembro""",2024-06-05,Correio da Manhã (RJ) - 1910 a 1919,1912,904,6,089842_02_8717.jpg,http://memoria.bn.br/docreader/089842_02/8717
3,"""centro civico sete de setembro""",2024-06-05,Correio da Manhã (RJ) - 1910 a 1919,1912,906,2,089842_02_8737.jpg,http://memoria.bn.br/docreader/089842_02/8737
4,"""centro civico sete de setembro""",2024-06-05,Correio da Manhã (RJ) - 1910 a 1919,1912,907,3,089842_02_8750.jpg,http://memoria.bn.br/docreader/089842_02/8750
5,"""centro civico sete de setembro""",2024-06-05,Correio da Manhã (RJ) - 1910 a 1919,1912,921,5,089842_02_8918.jpg,http://memoria.bn.br/docreader/089842_02/8918
6,"""centro civico sete de setembro""",2024-06-05,Correio da Manhã (RJ) - 1910 a 1919,1912,940,2,089842_02_9153.jpg,http://memoria.bn.br/docreader/089842_02/9153
7,"""centro civico sete de setembro""",2024-06-05,Correio da Manhã (RJ) - 1910 a 1919,1912,945,5,089842_02_9224.jpg,http://memoria.bn.br/docreader/089842_02/9224
8,"""centro civico sete de setembro""",2024-06-05,Correio da Manhã (RJ) - 1910 a 1919,1912,951,3,089842_02_9304.jpg,http://memoria.bn.br/docreader/089842_02/9304
9,"""centro civico sete de setembro""",2024-06-05,Correio da Manhã (RJ) - 1910 a 1919,1912,952,4,089842_02_9317.jpg,http://memoria.bn.br/docreader/089842_02/9317
10,"""centro civico sete de setembro""",2024-06-05,Correio da Manhã (RJ) - 1910 a 1919,1912,975,2,089842_02_9615.jpg,http://memoria.bn.br/docreader/089842_02/9615
11,"""centro civico sete de setembro""",2024-06-05,Correio da Manhã (RJ) - 1910 a 1919,1912,003,3,089842_02_10014.jpg,http://memoria.bn.br/docreader/089842_02/10014
12,"""centro civico sete de setembro""",2024-06-05,Correio da Manhã (RJ) - 1910 a 1919,1912,021,2,089842_02_10245.jpg,http://memoria.bn.br/docreader/089842_02/10245
13,"""centro civico sete de setembro""",2024-06-05,Correio da Manhã (RJ) - 1910 a 1919,1912,025,5,089842_02_10298.jpg,http://memoria.bn.br/docreader/089842_02/10298
14,"""centro civico sete de setembro""",2024-06-05,Correio da Manhã (RJ) - 1910 a 1919,1912,049,2,089842_02_10625.jpg,http://memoria.bn.br/docreader/089842_02/10625
15,"""centro civico sete de setembro""",2024-06-05,Correio da Manhã (RJ) - 1910 a 1919,1912,053,4,089842_02_10681.jpg,http://memoria.bn.br/docreader/089842_02/10681
16,"""centro civico sete de setembro""",2024-06-05,Correio da Manhã (RJ) - 1910 a 1919,1912,068,3,089842_02_10870.jpg,http://memoria.bn.br/docreader/089842_02/10870
17,"""centro civico sete de setembro""",2024-06-05,Correio da Manhã (RJ) - 1910 a 1919,1912,082,1,089842_02_11060.jpg,http://memoria.bn.br/docreader/089842_02/11060
18,"""centro civico sete de setembro""",2024-06-05,Correio da Manhã (RJ) - 1910 a 1919,1912,089,3,089842_02_11152.jpg,http://memoria.bn.br/docreader/089842_02/11152
19,"""centro civico sete de setembro""",2024-06-05,Correio da Manhã (RJ) - 1910 a 1919,1912,007,5,089842_02_11416.jpg,http://memoria.bn.br/docreader/089842_02/11416
20,"""centro civico sete de setembro""",2024-06-05,Correio da Manhã (RJ) - 1910 a 1919,1912,048,2,089842_02_11981.jpg,http://memoria.bn.br/docreader/089842_02/11981
21,"""centro civico sete de setembro""",2024-06-05,Correio da Manhã (RJ) - 1910 a 1919,1912,056,6,089842_02_12093.jpg,http://memoria.bn.br/docreader/089842_02/12093
22,"""centro civico sete de setembro""",2024-06-05,Correio da Manhã (RJ) - 1910 a 1919,1913,100,1,089842_02_12704.jpg,http://memoria.bn.br/docreader/089842_02/12704
23,"""centro civico sete de setembro""",2024-06-05,Correio da Manhã (RJ) - 1910 a 1919,1913,104,1,089842_02_12758.jpg,http://memoria.bn.br/docreader/089842_02/12758
