,Termo da busca,Data da Busca,Acervo,Ano,Edição,Página,Nome do arquivo,Link
0,"""centro civico sete de setembro""",2024-04-24,Almanak Laemmert : Administrativo  Mercantil e Industrial (RJ) - 1891 a 1940,1913,0069,1006,313394_49665.jpg,http://memoria.bn.br/docreader/313394/49665
1,"""centro civico sete de setembro""",2024-04-24,Almanak Laemmert : Administrativo  Mercantil e Industrial (RJ) - 1891 a 1940,1913,0069,1379,313394_50038.jpg,http://memoria.bn.br/docreader/313394/50038
2,"""centro civico sete de setembro""",2024-04-24,Almanak Laemmert : Administrativo  Mercantil e Industrial (RJ) - 1891 a 1940,1913,0069,1677,313394_50336.jpg,http://memoria.bn.br/docreader/313394/50336
3,"""centro civico sete de setembro""",2024-04-24,Almanak Laemmert : Administrativo  Mercantil e Industrial (RJ) - 1891 a 1940,1914,0070,1034,313394_54497.jpg,http://memoria.bn.br/docreader/313394/54497
4,"""centro civico sete de setembro""",2024-04-24,Almanak Laemmert : Administrativo  Mercantil e Industrial (RJ) - 1891 a 1940,1914,0070,1417,313394_54880.jpg,http://memoria.bn.br/docreader/313394/54880
5,"""centro civico sete de setembro""",2024-04-24,Almanak Laemmert : Administrativo  Mercantil e Industrial (RJ) - 1891 a 1940,1914,0070,1730,313394_55193.jpg,http://memoria.bn.br/docreader/313394/55193
6,"""centro civico sete de setembro""",2024-04-24,Almanak Laemmert : Administrativo  Mercantil e Industrial (RJ) - 1891 a 1940,1915,0071,1237,313394_59671.jpg,http://memoria.bn.br/docreader/313394/59671
7,"""centro civico sete de setembro""",2024-04-24,Almanak Laemmert : Administrativo  Mercantil e Industrial (RJ) - 1891 a 1940,1915,0071,1275,313394_59709.jpg,http://memoria.bn.br/docreader/313394/59709
8,"""centro civico sete de setembro""",2024-04-24,Almanak Laemmert : Administrativo  Mercantil e Industrial (RJ) - 1891 a 1940,1916,0072,867,313394_63500.jpg,http://memoria.bn.br/docreader/313394/63500
9,"""centro civico sete de setembro""",2024-04-24,Almanak Laemmert : Administrativo  Mercantil e Industrial (RJ) - 1891 a 1940,1916,0072,1253,313394_63886.jpg,http://memoria.bn.br/docreader/313394/63886
10,"""centro civico sete de setembro""",2024-04-24,Almanak Laemmert : Administrativo  Mercantil e Industrial (RJ) - 1891 a 1940,1918,0074,768,313394_69868.jpg,http://memoria.bn.br/docreader/313394/69868
11,"""centro civico sete de setembro""",2024-04-24,Almanak Laemmert : Administrativo  Mercantil e Industrial (RJ) - 1891 a 1940,1918,0074,832,313394_69932.jpg,http://memoria.bn.br/docreader/313394/69932
12,"""centro civico sete de setembro""",2024-04-24,Almanak Laemmert : Administrativo  Mercantil e Industrial (RJ) - 1891 a 1940,1922,0078-00079,489,313394_79842.jpg,http://memoria.bn.br/docreader/313394/79842
