Acervo,Total de Páginas,Total de Ocorrências,Número de Páginas para uma Ocorrência
O Paiz (RJ) - 1910 a 1919,45614,387,117.8656330749354
Correio da Manhã (RJ) - 1910 a 1919,42249,122,346.3032786885246
A Epoca (RJ) - 1912 a 1919,21607,121,178.5702479338843
Jornal do Brasil (RJ) - 1910 a 1919,56533,79,715.6075949367089
Jornal do Commercio Edição da Tarde (RJ) - 1909 a 1922,21551,74,291.22972972972974
Jornal do Commercio (RJ) - 1910 a 1919,64446,67,961.8805970149253
A Imprensa (RJ) - 1898 a 1914,20297,65,312.26153846153846
Gazeta de Noticias (RJ) - 1900 a 1919,48801,62,787.1129032258065
O Imparcial : Diario Illustrado do Rio de Janeiro (RJ) - 1912 a 1919,26844,49,547.8367346938776
O Seculo (RJ) - 1906 a 1916,11290,43,262.5581395348837
A Noticia (RJ) - 1894 a 1916,25255,39,647.5641025641025
Lanterna : Diario Vespertino (RJ) - 1917 a 1918,1732,33,52.484848484848484
A Noite (RJ) - 1911 a 1919,16247,29,560.2413793103449
Correio Da Noite : Jornal Independente (RJ) - 1913,3401,25,136.04
A Razão (RJ) - 1916 a 1921,14126,23,614.1739130434783
A Rua : Semanario Illustrado (RJ) - 1910 a 1927,14805,18,822.5
"Almanak Laemmert : Administrativo, Mercantil e Industrial (RJ) - 1891 a 1940",122275,12,10189.583333333334
O Sete de Setembro (RJ) - 1919,16,8,2.0
Revista da Semana (RJ) - 1900 a 1918,31183,6,5197.166666666667
O Malho (RJ) - 1902 - 1953,103654,6,17275.666666666668
A Lanterna : Jornal da Noite (RJ) - 1916,354,6,59.0
A Tribuna (RJ) - 1890 a 1911,1238,5,247.6
D. Quixote (RJ) - 1917 a 1926,12487,2,6243.5
D. Quixote (RJ) - 1917 a 1926,12515,2,6257.5
"Fon Fon : Semanario Alegre, Politico, Critico e Espusiante (RJ) - 1907 a 1958",154674,2,77337.0
Jornal de Theatro & Sport (RJ) - 1904 a 1915,9838,2,4919.0
Careta (RJ) - 1909 a 1964,113764,1,113764.0
O Fluminense (RJ) - 1910 a 1919,14589,1,14589.0
O Jornal (RJ) - 1919,2366,1,2366.0
O Tico-Tico : Jornal das crianças (RJ) - 1905 a 1961,52935,1,52935.0
O Tiro (RJ) - 1909 a 1916,2914,1,2914.0
Futuro das Moças (RJ) - 1914 a 1918,1094,1,1094.0
