,Termo da busca,Data da Busca,Acervo,Ano,Edição,Página,Nome do arquivo,Link
0,"""conego olympio de castro""",2021-11-22,O Brasil (RJ) - 1922 a 1927,1922,178,8,028002_1341.jpg,http://memoria.bn.br/docreader/028002/1341
1,"""conego olympio de castro""",2021-11-22,O Brasil (RJ) - 1922 a 1927,1923,379,3,028002_2335.jpg,http://memoria.bn.br/docreader/028002/2335
2,"""conego olympio de castro""",2021-11-22,O Brasil (RJ) - 1922 a 1927,1924,763,8,028002_4624.jpg,http://memoria.bn.br/docreader/028002/4624
3,"""conego olympio de castro""",2021-11-22,O Brasil (RJ) - 1922 a 1927,1924,846,3,028002_5241.jpg,http://memoria.bn.br/docreader/028002/5241
4,"""conego olympio de castro""",2021-11-22,O Brasil (RJ) - 1922 a 1927,1924,960,4,028002_6192.jpg,http://memoria.bn.br/docreader/028002/6192
5,"""conego olympio de castro""",2021-11-22,O Brasil (RJ) - 1922 a 1927,1925,079,8,028002_7229.jpg,http://memoria.bn.br/docreader/028002/7229
6,"""conego olympio de castro""",2021-11-22,O Brasil (RJ) - 1922 a 1927,1925,147,6,028002_7729.jpg,http://memoria.bn.br/docreader/028002/7729
7,"""conego olympio de castro""",2021-11-22,O Brasil (RJ) - 1922 a 1927,1925,259,4,028002_8339.jpg,http://memoria.bn.br/docreader/028002/8339
8,"""conego olympio de castro""",2021-11-22,O Brasil (RJ) - 1922 a 1927,1926,391,5,028002_9291.jpg,http://memoria.bn.br/docreader/028002/9291
9,"""conego olympio de castro""",2021-11-22,O Brasil (RJ) - 1922 a 1927,1926,489,4,028002_9964.jpg,http://memoria.bn.br/docreader/028002/9964
10,"""conego olympio de castro""",2021-11-22,O Brasil (RJ) - 1922 a 1927,1926,491,6,028002_9982.jpg,http://memoria.bn.br/docreader/028002/9982
11,"""conego olympio de castro""",2021-11-22,O Brasil (RJ) - 1922 a 1927,1926,598,6,028002_10780.jpg,http://memoria.bn.br/docreader/028002/10780
12,"""conego olympio de castro""",2021-11-22,O Brasil (RJ) - 1922 a 1927,1926,617,4,028002_10900.jpg,http://memoria.bn.br/docreader/028002/10900
13,"""conego olympio de castro""",2021-11-22,O Brasil (RJ) - 1922 a 1927,1926,664,4,028002_11238.jpg,http://memoria.bn.br/docreader/028002/11238
14,"""conego olympio de castro""",2021-11-22,O Brasil (RJ) - 1922 a 1927,1927,790,4,028002_12229.jpg,http://memoria.bn.br/docreader/028002/12229
15,"""conego olympio de castro""",2021-11-22,O Brasil (RJ) - 1922 a 1927,1927,834,8,028002_12591.jpg,http://memoria.bn.br/docreader/028002/12591
16,"""conego olympio de castro""",2021-11-22,O Brasil (RJ) - 1922 a 1927,1927,857,6,028002_12765.jpg,http://memoria.bn.br/docreader/028002/12765
17,"""conego olympio de castro""",2021-11-22,O Brasil (RJ) - 1922 a 1927,1927,922,7,028002_13289.jpg,http://memoria.bn.br/docreader/028002/13289
18,"""conego olympio de castro""",2021-11-22,O Brasil (RJ) - 1922 a 1927,1927,936,3,028002_13420.jpg,http://memoria.bn.br/docreader/028002/13420
19,"""conego olympio de castro""",2021-11-22,O Brasil (RJ) - 1922 a 1927,1927,937,3,028002_13428.jpg,http://memoria.bn.br/docreader/028002/13428
