,Termo da busca,Data da Busca,Acervo,Ano,Edição,Página,Nome do arquivo,Link
0,"""conego olympio de castro""",2021-11-22,Gazeta de Noticias (RJ) - 1920 a 1929,1920,051,6,103730_05_430.jpg,http://memoria.bn.br/docreader/103730_05/430
1,"""conego olympio de castro""",2021-11-22,Gazeta de Noticias (RJ) - 1920 a 1929,1920,054,5,103730_05_455.jpg,http://memoria.bn.br/docreader/103730_05/455
2,"""conego olympio de castro""",2021-11-22,Gazeta de Noticias (RJ) - 1920 a 1929,1920,111,4,103730_05_924.jpg,http://memoria.bn.br/docreader/103730_05/924
3,"""conego olympio de castro""",2021-11-22,Gazeta de Noticias (RJ) - 1920 a 1929,1920,317,3,103730_05_2673.jpg,http://memoria.bn.br/docreader/103730_05/2673
4,"""conego olympio de castro""",2021-11-22,Gazeta de Noticias (RJ) - 1920 a 1929,1922,117,4,103730_05_6252.jpg,http://memoria.bn.br/docreader/103730_05/6252
5,"""conego olympio de castro""",2021-11-22,Gazeta de Noticias (RJ) - 1920 a 1929,1923,057,6,103730_05_8228.jpg,http://memoria.bn.br/docreader/103730_05/8228
6,"""conego olympio de castro""",2021-11-22,Gazeta de Noticias (RJ) - 1920 a 1929,1923,070,6,103730_05_8332.jpg,http://memoria.bn.br/docreader/103730_05/8332
7,"""conego olympio de castro""",2021-11-22,Gazeta de Noticias (RJ) - 1920 a 1929,1923,075,1,103730_05_8367.jpg,http://memoria.bn.br/docreader/103730_05/8367
8,"""conego olympio de castro""",2021-11-22,Gazeta de Noticias (RJ) - 1920 a 1929,1923,0113,1,103730_05_8713.jpg,http://memoria.bn.br/docreader/103730_05/8713
9,"""conego olympio de castro""",2021-11-22,Gazeta de Noticias (RJ) - 1920 a 1929,1923,115,2,103730_05_8816.jpg,http://memoria.bn.br/docreader/103730_05/8816
10,"""conego olympio de castro""",2021-11-22,Gazeta de Noticias (RJ) - 1920 a 1929,1923,129,2,103730_05_8964.jpg,http://memoria.bn.br/docreader/103730_05/8964
11,"""conego olympio de castro""",2021-11-22,Gazeta de Noticias (RJ) - 1920 a 1929,1924,122,3,103730_05_12171.jpg,http://memoria.bn.br/docreader/103730_05/12171
12,"""conego olympio de castro""",2021-11-22,Gazeta de Noticias (RJ) - 1920 a 1929,1924,131,4,103730_05_12260.jpg,http://memoria.bn.br/docreader/103730_05/12260
13,"""conego olympio de castro""",2021-11-22,Gazeta de Noticias (RJ) - 1920 a 1929,1924,175,6,103730_05_12732.jpg,http://memoria.bn.br/docreader/103730_05/12732
14,"""conego olympio de castro""",2021-11-22,Gazeta de Noticias (RJ) - 1920 a 1929,1924,178,3,103730_05_12757.jpg,http://memoria.bn.br/docreader/103730_05/12757
15,"""conego olympio de castro""",2021-11-22,Gazeta de Noticias (RJ) - 1920 a 1929,1924,184,5,103730_05_12801.jpg,http://memoria.bn.br/docreader/103730_05/12801
16,"""conego olympio de castro""",2021-11-22,Gazeta de Noticias (RJ) - 1920 a 1929,1924,187,5,103730_05_12833.jpg,http://memoria.bn.br/docreader/103730_05/12833
17,"""conego olympio de castro""",2021-11-22,Gazeta de Noticias (RJ) - 1920 a 1929,1924,201,4,103730_05_12970.jpg,http://memoria.bn.br/docreader/103730_05/12970
18,"""conego olympio de castro""",2021-11-22,Gazeta de Noticias (RJ) - 1920 a 1929,1924,206,4,103730_05_13014.jpg,http://memoria.bn.br/docreader/103730_05/13014
19,"""conego olympio de castro""",2021-11-22,Gazeta de Noticias (RJ) - 1920 a 1929,1924,208,4,103730_05_13034.jpg,http://memoria.bn.br/docreader/103730_05/13034
20,"""conego olympio de castro""",2021-11-22,Gazeta de Noticias (RJ) - 1920 a 1929,1924,208,5,103730_05_13035.jpg,http://memoria.bn.br/docreader/103730_05/13035
21,"""conego olympio de castro""",2021-11-22,Gazeta de Noticias (RJ) - 1920 a 1929,1924,209,3,103730_05_13043.jpg,http://memoria.bn.br/docreader/103730_05/13043
22,"""conego olympio de castro""",2021-11-22,Gazeta de Noticias (RJ) - 1920 a 1929,1924,210,3,103730_05_13051.jpg,http://memoria.bn.br/docreader/103730_05/13051
23,"""conego olympio de castro""",2021-11-22,Gazeta de Noticias (RJ) - 1920 a 1929,1924,211,9,103730_05_13065.jpg,http://memoria.bn.br/docreader/103730_05/13065
24,"""conego olympio de castro""",2021-11-22,Gazeta de Noticias (RJ) - 1920 a 1929,1924,220,4,103730_05_13182.jpg,http://memoria.bn.br/docreader/103730_05/13182
25,"""conego olympio de castro""",2021-11-22,Gazeta de Noticias (RJ) - 1920 a 1929,1924,222,4,103730_05_13202.jpg,http://memoria.bn.br/docreader/103730_05/13202
26,"""conego olympio de castro""",2021-11-22,Gazeta de Noticias (RJ) - 1920 a 1929,1924,244,4,103730_05_13434.jpg,http://memoria.bn.br/docreader/103730_05/13434
27,"""conego olympio de castro""",2021-11-22,Gazeta de Noticias (RJ) - 1920 a 1929,1924,245,4,103730_05_13444.jpg,http://memoria.bn.br/docreader/103730_05/13444
28,"""conego olympio de castro""",2021-11-22,Gazeta de Noticias (RJ) - 1920 a 1929,1924,258,4,103730_05_13582.jpg,http://memoria.bn.br/docreader/103730_05/13582
29,"""conego olympio de castro""",2021-11-22,Gazeta de Noticias (RJ) - 1920 a 1929,1924,270,4,103730_05_13710.jpg,http://memoria.bn.br/docreader/103730_05/13710
30,"""conego olympio de castro""",2021-11-22,Gazeta de Noticias (RJ) - 1920 a 1929,1924,275,5,103730_05_13763.jpg,http://memoria.bn.br/docreader/103730_05/13763
