Acervo,Total de Páginas,Total de Ocorrências,Frequência de ocorrências X páginas
Jornal do Brasil (RJ) - 1920 a 1929,81654,309,264.252427184466
O Jornal (RJ) - 1920 a 1929,47946,179,267.85474860335194
Jornal do Commercio (RJ) - 1930 a 1939,62505,171,365.5263157894737
O Paiz (RJ) - 1920 a 1929,40966,156,262.6025641025641
Jornal do Brasil (RJ) - 1930 a 1939,98239,129,761.5426356589147
Jornal do Commercio (RJ) - 1920 a 1929,51497,94,547.8404255319149
Correio da Manhã (RJ) - 1920 a 1929,43787,83,527.5542168674699
O Jornal (RJ) - 1930 a 1939,54381,81,671.3703703703703
Gazeta de Noticias (RJ) - 1920 a 1929,30528,72,424.0
Correio da Manhã (RJ) - 1936 a 1939,55657,70,795.1
Diario da Noite (RJ) - 1930 a 1939,45050,61,738.5245901639345
Diario de Noticias (RJ) - 1930 a 1939,41882,59,709.8644067796611
A Noite (RJ) - 1930 a 1939,69513,50,1390.26
Diario Carioca (RJ) - 1930 a 1939,41309,40,1032.725
O Paiz (RJ) - 1930 a 1934,5549,39,142.28205128205127
A Noite (RJ) - 1920 a 1929,27437,38,722.0263157894736
O Imparcial (RJ) - 1920 a 1929,38593,32,1206.03125
O Fluminense (RJ) - 1920 a 1929,13010,30,433.6666666666667
A Cruz : Orgão da Parochia de S. João Baptista (RJ) - 1919 a 1923,16761,24,698.375
O Brasil (RJ) - 1922 a 1927,13731,20,686.55
A Rua : Semanario Illustrado (RJ) - 1910 a 1927,14805,19,779.2105263157895
Gazeta de Noticias (RJ) - 1930 a 1939,24736,15,1649.0666666666666
O Malho (RJ) - 1902 - 1953,103654,15,6910.266666666666
A Batalha (RJ) - 1929 a 1941,20371,14,1455.0714285714287
Correio da Manhã (RJ) - 1910 a 1919,42249,9,4694.333333333333
A Manhã (RJ) - 1925 a 1953,63390,9,7043.333333333333
A União (RJ) - 1905 a 1950,8563,8,1070.375
O Radical (RJ) - 1932 a 1943,27577,8,3447.125
O Fluminense (RJ) - 1930 a 1939,12482,7,1783.142857142857
O Paiz (RJ) - 1910 a 1919,45614,7,6516.285714285715
Brasil Social : revista quinzenal illustrada (RJ) - 1924 a 1940,3469,6,578.1666666666666
A Revista (RJ) - 1919 a 1923,3392,6,565.3333333333334
Vida Domestica (RJ) - 1920 a 1962,63776,6,10629.333333333334
Revista da Semana (RJ) - 1930 a 1939,24836,5,4967.2
O Imparcial (RJ) - 1935 a 1939,20861,5,4172.2
A Nação (RJ) - 1933 a 1937,20067,5,4013.4
Jornal do Commercio (RJ) - 1910 a 1919,60566,5,12113.2
"Beira-Mar : Copacabana, Ipanema, Leme (RJ) - 1922 a 1955",9658,4,2414.5
Jornal das Moças : Revista Semanal Ilustrada (RJ) - 1930 a 1939,22690,4,5672.5
Revista da Semana (RJ) - 1921 a 1929,19701,3,6567.0
Diario Carioca (RJ) - 1928 a 1929,5011,3,1670.3333333333333
Arealense (RJ) - 1908 a 1936,5841,3,1947.0
Illustração Fluminense (RJ) - 1921 a 1925,769,3,256.3333333333333
O Cruzeiro : Revista (RJ) - 1928 a 1985,208099,2,104049.5
Jornal do Brasil (RJ) - 1910 a 1919,56533,2,28266.5
Gazeta de Noticias (RJ) - 1900 a 1919,48801,2,24400.5
Excelsior (RJ) - 1928 a 1935,16741,2,8370.5
"Fon Fon : Semanario Alegre, Politico, Critico e Espusiante (RJ) - 1907 a 1958",152864,2,76432.0
A Esquerda (RJ) - 1928 a 1931,3035,2,1517.5
Jornal do Commercio (RJ) - 1940 a 1949,49114,2,24557.0
