,Termo da busca,Data da Busca,Acervo,Ano,Edição,Página,Nome do arquivo,Link
0,"""honorio menelik""",2024-04-19,Gazeta de Noticias (RJ) - 1900 a 1919,1902,116,2,103730_04_3904.jpg,http://memoria.bn.br/docreader/103730_04/3904
1,"""honorio menelik""",2024-04-19,Gazeta de Noticias (RJ) - 1900 a 1919,1905,204,7,103730_04_10170.jpg,http://memoria.bn.br/docreader/103730_04/10170
2,"""honorio menelik""",2024-04-19,Gazeta de Noticias (RJ) - 1900 a 1919,1907,097,2,103730_04_14565.jpg,http://memoria.bn.br/docreader/103730_04/14565
3,"""honorio menelik""",2024-04-19,Gazeta de Noticias (RJ) - 1900 a 1919,1909,002,4,103730_04_18996.jpg,http://memoria.bn.br/docreader/103730_04/18996
4,"""honorio menelik""",2024-04-19,Gazeta de Noticias (RJ) - 1900 a 1919,1909,091,2,103730_04_19592.jpg,http://memoria.bn.br/docreader/103730_04/19592
5,"""honorio menelik""",2024-04-19,Gazeta de Noticias (RJ) - 1900 a 1919,1909,122,8,103730_04_19816.jpg,http://memoria.bn.br/docreader/103730_04/19816
6,"""honorio menelik""",2024-04-19,Gazeta de Noticias (RJ) - 1900 a 1919,1910,252,4,103730_04_24431.jpg,http://memoria.bn.br/docreader/103730_04/24431
7,"""honorio menelik""",2024-04-19,Gazeta de Noticias (RJ) - 1900 a 1919,1910,340,5,103730_04_25284.jpg,http://memoria.bn.br/docreader/103730_04/25284
8,"""honorio menelik""",2024-04-19,Gazeta de Noticias (RJ) - 1900 a 1919,1910,358,2,103730_04_25439.jpg,http://memoria.bn.br/docreader/103730_04/25439
9,"""honorio menelik""",2024-04-19,Gazeta de Noticias (RJ) - 1900 a 1919,1910,365,4,103730_04_25501.jpg,http://memoria.bn.br/docreader/103730_04/25501
10,"""honorio menelik""",2024-04-19,Gazeta de Noticias (RJ) - 1900 a 1919,1911,021,5,103730_04_25708.jpg,http://memoria.bn.br/docreader/103730_04/25708
11,"""honorio menelik""",2024-04-19,Gazeta de Noticias (RJ) - 1900 a 1919,1911,079,5,103730_04_26262.jpg,http://memoria.bn.br/docreader/103730_04/26262
12,"""honorio menelik""",2024-04-19,Gazeta de Noticias (RJ) - 1900 a 1919,1911,080,4,103730_04_26269.jpg,http://memoria.bn.br/docreader/103730_04/26269
13,"""honorio menelik""",2024-04-19,Gazeta de Noticias (RJ) - 1900 a 1919,1911,084,5,103730_04_26318.jpg,http://memoria.bn.br/docreader/103730_04/26318
14,"""honorio menelik""",2024-04-19,Gazeta de Noticias (RJ) - 1900 a 1919,1911,113,8,103730_04_26597.jpg,http://memoria.bn.br/docreader/103730_04/26597
15,"""honorio menelik""",2024-04-19,Gazeta de Noticias (RJ) - 1900 a 1919,1911,126,4,103730_04_26732.jpg,http://memoria.bn.br/docreader/103730_04/26732
16,"""honorio menelik""",2024-04-19,Gazeta de Noticias (RJ) - 1900 a 1919,1911,127,8,103730_04_26743.jpg,http://memoria.bn.br/docreader/103730_04/26743
17,"""honorio menelik""",2024-04-19,Gazeta de Noticias (RJ) - 1900 a 1919,1912,179,5,103730_04_30458.jpg,http://memoria.bn.br/docreader/103730_04/30458
18,"""honorio menelik""",2024-04-19,Gazeta de Noticias (RJ) - 1900 a 1919,1912,218,9,103730_04_30860.jpg,http://memoria.bn.br/docreader/103730_04/30860
19,"""honorio menelik""",2024-04-19,Gazeta de Noticias (RJ) - 1900 a 1919,1916,005,1,103730_04_36782.jpg,http://memoria.bn.br/docreader/103730_04/36782
20,"""honorio menelik""",2024-04-19,Gazeta de Noticias (RJ) - 1900 a 1919,1916,012,5,103730_04_36846.jpg,http://memoria.bn.br/docreader/103730_04/36846
21,"""honorio menelik""",2024-04-19,Gazeta de Noticias (RJ) - 1900 a 1919,1916,180,1,103730_04_38280.jpg,http://memoria.bn.br/docreader/103730_04/38280
22,"""honorio menelik""",2024-04-19,Gazeta de Noticias (RJ) - 1900 a 1919,1916,225,1,103730_04_38684.jpg,http://memoria.bn.br/docreader/103730_04/38684
23,"""honorio menelik""",2024-04-19,Gazeta de Noticias (RJ) - 1900 a 1919,1916,305,5,103730_04_39346.jpg,http://memoria.bn.br/docreader/103730_04/39346
24,"""honorio menelik""",2024-04-19,Gazeta de Noticias (RJ) - 1900 a 1919,1916,324,3,103730_04_39500.jpg,http://memoria.bn.br/docreader/103730_04/39500
25,"""honorio menelik""",2024-04-19,Gazeta de Noticias (RJ) - 1900 a 1919,1917,048,2,103730_04_40243.jpg,http://memoria.bn.br/docreader/103730_04/40243
26,"""honorio menelik""",2024-04-19,Gazeta de Noticias (RJ) - 1900 a 1919,1917,345,2,103730_04_42759.jpg,http://memoria.bn.br/docreader/103730_04/42759
