,Termo da busca,Data da Busca,Acervo,Ano,Edição,Página,Nome do arquivo,Link
0,"""honorio menelik""",2024-04-19,Jornal do Commercio Edição da Tarde (RJ) - 1909 a 1922,1911,440,2,111988_1739.jpg,http://memoria.bn.br/docreader/111988/1739
1,"""honorio menelik""",2024-04-19,Jornal do Commercio Edição da Tarde (RJ) - 1909 a 1922,1909,583,1,111988_2174.jpg,http://memoria.bn.br/docreader/111988/2174
2,"""honorio menelik""",2024-04-19,Jornal do Commercio Edição da Tarde (RJ) - 1909 a 1922,1912,697,1,111988_2657.jpg,http://memoria.bn.br/docreader/111988/2657
3,"""honorio menelik""",2024-04-19,Jornal do Commercio Edição da Tarde (RJ) - 1909 a 1922,1912,800,3,111988_3512.jpg,http://memoria.bn.br/docreader/111988/3512
4,"""honorio menelik""",2024-04-19,Jornal do Commercio Edição da Tarde (RJ) - 1909 a 1922,1912,854,1,111988_3725.jpg,http://memoria.bn.br/docreader/111988/3725
5,"""honorio menelik""",2024-04-19,Jornal do Commercio Edição da Tarde (RJ) - 1909 a 1922,1913,263,2,111988_4973.jpg,http://memoria.bn.br/docreader/111988/4973
6,"""honorio menelik""",2024-04-19,Jornal do Commercio Edição da Tarde (RJ) - 1909 a 1922,1916,934,4,111988_7170.jpg,http://memoria.bn.br/docreader/111988/7170
7,"""honorio menelik""",2024-04-19,Jornal do Commercio Edição da Tarde (RJ) - 1909 a 1922,1916,999,3,111988_7643.jpg,http://memoria.bn.br/docreader/111988/7643
8,"""honorio menelik""",2024-04-19,Jornal do Commercio Edição da Tarde (RJ) - 1909 a 1922,1916,059,6,111988_8116.jpg,http://memoria.bn.br/docreader/111988/8116
9,"""honorio menelik""",2024-04-19,Jornal do Commercio Edição da Tarde (RJ) - 1909 a 1922,1916,115,2,111988_8551.jpg,http://memoria.bn.br/docreader/111988/8551
10,"""honorio menelik""",2024-04-19,Jornal do Commercio Edição da Tarde (RJ) - 1909 a 1922,1916,166,2,111988_8947.jpg,http://memoria.bn.br/docreader/111988/8947
11,"""honorio menelik""",2024-04-19,Jornal do Commercio Edição da Tarde (RJ) - 1909 a 1922,1917,113,2,111988_10200.jpg,http://memoria.bn.br/docreader/111988/10200
12,"""honorio menelik""",2024-04-19,Jornal do Commercio Edição da Tarde (RJ) - 1909 a 1922,1917,185,4,111988_10763.jpg,http://memoria.bn.br/docreader/111988/10763
13,"""honorio menelik""",2024-04-19,Jornal do Commercio Edição da Tarde (RJ) - 1909 a 1922,1917,213,2,111988_10986.jpg,http://memoria.bn.br/docreader/111988/10986
14,"""honorio menelik""",2024-04-19,Jornal do Commercio Edição da Tarde (RJ) - 1909 a 1922,1917,261,2,111988_11357.jpg,http://memoria.bn.br/docreader/111988/11357
15,"""honorio menelik""",2024-04-19,Jornal do Commercio Edição da Tarde (RJ) - 1909 a 1922,1917,277,3,111988_11482.jpg,http://memoria.bn.br/docreader/111988/11482
16,"""honorio menelik""",2024-04-19,Jornal do Commercio Edição da Tarde (RJ) - 1909 a 1922,1917,281,2,111988_11513.jpg,http://memoria.bn.br/docreader/111988/11513
17,"""honorio menelik""",2024-04-19,Jornal do Commercio Edição da Tarde (RJ) - 1909 a 1922,1917,284,2,111988_11537.jpg,http://memoria.bn.br/docreader/111988/11537
18,"""honorio menelik""",2024-04-19,Jornal do Commercio Edição da Tarde (RJ) - 1909 a 1922,1920,034,2,111988_16759.jpg,http://memoria.bn.br/docreader/111988/16759
19,"""honorio menelik""",2024-04-19,Jornal do Commercio Edição da Tarde (RJ) - 1909 a 1922,1920,044,5,111988_16838.jpg,http://memoria.bn.br/docreader/111988/16838
