Acervo,Total de Páginas,Total de Ocorrências,Número de Páginas para uma Ocorrência
O Paiz (RJ) - 1910 a 1919,45614,72,633.5277777777778
O Seculo (RJ) - 1906 a 1916,11290,62,182.09677419354838
A Imprensa (RJ) - 1898 a 1914,20297,29,699.8965517241379
Gazeta de Noticias (RJ) - 1900 a 1919,48801,27,1807.4444444444443
Jornal do Commercio Edição da Tarde (RJ) - 1909 a 1922,21551,20,1077.55
A Epoca (RJ) - 1912 a 1919,21607,13,1662.076923076923
Jornal do Commercio (RJ) - 1910 a 1919,64446,12,5370.5
Jornal do Brasil (RJ) - 1910 a 1919,56533,10,5653.3
Jornal do Brasil (RJ) - 1900 a 1909,36138,8,4517.25
Jornal do Brasil (RJ) - 1920 a 1929,81654,8,10206.75
Correio da Manhã (RJ) - 1910 a 1919,42249,8,5281.125
O Paiz (RJ) - 1920 a 1929,40966,8,5120.75
A Noticia (RJ) - 1894 a 1916,25255,8,3156.875
"Almanak Laemmert : Administrativo, Mercantil e Industrial (RJ) - 1891 a 1940",122275,6,20379.166666666668
Lanterna : Diario Vespertino (RJ) - 1917 a 1918,1732,6,288.6666666666667
Correio da Manhã (RJ) - 1901 a 1909,21829,5,4365.8
Correio da Manhã (RJ) - 1920 a 1929,43787,5,8757.4
O Paiz (RJ) - 1900 a 1909,22179,5,4435.8
O Sete de Setembro (RJ) - 1919,16,5,3.2
O Imparcial (RJ) - 1920 a 1929,38593,4,9648.25
O Jornal (RJ) - 1920 a 1929,47946,4,11986.5
Diario Carioca (RJ) - 1928 a 1929,5011,3,1670.3333333333333
A Rua : Semanario Illustrado (RJ) - 1910 a 1927,14805,3,4935.0
Jornal do Commercio (RJ) - 1920 a 1929,51497,3,17165.666666666668
O Brasil (RJ) - 1922 a 1927,13731,2,6865.5
Gazeta de Noticias (RJ) - 1920 a 1929,30528,2,15264.0
A Manhã (RJ) - 1925 a 1953,63390,2,31695.0
Jornal do Commercio (RJ) - 1900 a 1909,18816,2,9408.0
A Tribuna (RJ) - 1890 a 1911,1238,2,619.0
Diario de Noticias (RJ) - 1930 a 1939,41882,1,41882.0
O Imparcial : Diario Illustrado do Rio de Janeiro (RJ) - 1912 a 1919,26844,1,26844.0
A Razão (RJ) - 1916 a 1921,14126,1,14126.0
A Batalha (RJ) - 1929 a 1941,20371,1,20371.0
Diario da Noite (RJ) - 1930 a 1939,45050,1,45050.0
O Tiro (RJ) - 1909 a 1916,2914,1,2914.0
"Fon Fon : Semanario Alegre, Politico, Critico e Espusiante (RJ) - 1907 a 1958",154674,1,154674.0
Auto-Propulsão (RJ) - 1915 a 1921,3652,1,3652.0
A Noite (RJ) - 1911 a 1919,16247,1,16247.0
A Noite (RJ) - 1920 a 1929,27437,1,27437.0
A Noite (RJ) - 1930 a 1939,69513,1,69513.0
Critica (RJ) - 1928 a 1930,4602,1,4602.0
Almanak Henault (RJ) - 1909 a 1911,2924,1,2924.0
O Combate (RJ) - 1921 a 1922,2136,1,2136.0
Almanak-Henault (RJ) - 1909 a 1913,5064,1,5064.0
Correio Da Noite : Jornal Independente (RJ) - 1913,3401,1,3401.0
O Radical (RJ) - 1932 a 1943,27577,1,27577.0
